City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
353,hofu,34.05,131.5667,12.63,62,1,1.62,JP,1713478029
354,makokou,0.5738,12.8642,24.06,89,100,1.17,GA,1713478093
355,coari,-4.085,-63.1414,25.98,95,100,0.33,BR,1713477958
356,nangong,37.3581,115.3744,16.11,63,100,3.63,CN,1713478095
357,bouca,6.5105,18.2733,28.06,54,92,3.32,CF,1713478096
358,urucara,-2.5364,-57.76,25.49,94,53,0.63,BR,1713478098
359,east end,34.5507,-92.341,27.86,84,60,4.24,US,1713478099
360,midvagur,62.0511,-7.1939,2.46,75,75,8.75,FO,1713478099
361,duong dong,10.2167,103.9667,26.0,83,20,0.51,VN,1713478103
362,tazacorte,28.629,-17.9293,20.54,68,0,2.06,ES,1713478104
363,pandan,14.0453,124.1694,24.71,85,12,1.75,PH,1713478110
364,arno,60.1167,18.6333,0.99,82,77,2.66,SE,1713478111
365,as sulayyil,20.4607,45.5779,27.14,24,32,3.95,SA,1713478111
